transaction_id,transaction_datetime,customer_id,customer_segment,product_id,product_name,category,unit_price,quantity,discount_pct,tax_pct,shipping_cost,subtotal,discount_amount,tax_amount,total_amount,channel,fulfillment_type,shipper,country,city,payment_mode,payment_status,order_status,coupon_code,source_campaign,referrer,store_id,sales_rep_id,return_flag,return_reason
TX20250000000,2025-04-13 19:28:00,CUST101309,Retail,PROD1000,Laptop,Electronics,58343.48,4,0.05,0.18,49.0,233373.92,11668.7,39906.94,261661.16,Store,Ship,UPS,USA,San Francisco,PayPal,Success,Returned,SAVE10,DIWALI2025,,STR001,,1,Damaged item
TX20250000001,2025-08-03 10:10:00,CUST100476,Retail,PROD1008,Monitor,Electronics,78758.8,3,0.05,0.05,0.0,236276.4,11813.82,11223.13,235685.71,Marketplace,Ship,Delhivery,Germany,Hamburg,Cash,Success,Cancelled,SAVE10,NEW_USER10,Instagram,STR001,,0,
TX20250000002,2025-01-02 23:43:00,CUST100689,Retail,PROD1001,Phone,Electronics,89654.09,1,0.2,0.12,79.0,89654.09,17930.82,8606.79,80409.06,Online,Pickup,,UK,Birmingham,Cash,Failed,Shipped,SAVE15,DIWALI2025,Direct,STR004,,0,
TX20250000003,2025-02-27 21:43:00,CUST101287,SME,PROD1009,Printer,Office,4945.56,2,0.0,0.05,0.0,9891.12,0.0,494.56,10385.68,Online,Ship,BlueDart,USA,Austin,,Pending,Returned,,DIWALI2025,LinkedIn,STR001,,1,Late delivery
TX20250000004,2025-07-07 15:14:00,CUST100758,SME,PROD1003,Headphones,Electronics,8644.4,4,0.0,0.18,49.0,34577.6,0.0,6223.97,40850.57,Store,Ship,BlueDart,Canada,Vancouver,UPI,Success,Delivered,,SOCIAL_ADS,Facebook,STR003,,0,
TX20250000005,2025-03-05 02:36:00,CUST100469,Retail,PROD1012,Router,Networking,13836.93,1,0.0,0.12,149.0,13836.93,0.0,1660.43,15646.36,Marketplace,Pickup,,India,Hyderabad,COD,Success,Delivered,,SUMMER_SALE,Affiliate,STR003,,0,
TX20250000006,2025-03-01 13:49:00,CUST101316,Enterprise,PROD1002,Tablet,Electronics,36281.24,1,0.0,0.12,0.0,36281.24,0.0,4353.75,40634.99,MobileApp,Ship,BlueDart,Canada,Montreal,PayPal,Success,Delivered,,SUMMER_SALE,Google,STR004,,0,
TX20250000007,2025-07-07 06:43:00,CUST101010,Retail,PROD1012,Router,Networking,11499.68,1,0.15,0.05,0.0,11499.68,1724.95,488.74,10263.47,Online,Ship,Delhivery,USA,Boston,Amex,Success,Delivered,SAVE5,FESTIVE15,Instagram,STR004,,0,
TX20250000008,2025-04-14 03:01:00,CUST101393,Retail,PROD1010,Office Chair,Furniture,12353.43,1,0.05,0.18,0.0,12353.43,617.67,2112.44,13848.2,Store,Pickup,,India,Pune,Amex,Success,Refunded,,NEW_USER10,Google,STR001,SR1002,1,
TX20250000009,2025-05-26 11:33:00,CUST101039,Corporate,PROD1002,Tablet,Electronics,36894.46,7,0.05,0.12,0.0,258261.22,12913.06,29441.78,274789.94,MobileApp,Digital,,Canada,Toronto,UPI,Success,Confirmed,SAVE5,NEW_USER10,Instagram,STR001,,0,
TX20250000010,2025-01-15 07:13:00,CUST100493,Retail,PROD1001,Phone,Electronics,25050.51,1,0.0,0.18,49.0,25050.51,0.0,4509.09,29608.6,Marketplace,Ship,BlueDart,Canada,Vancouver,Visa,Success,Delivered,,FESTIVE15,YouTube,STR001,,0,
TX20250000011,2025-03-23 14:52:00,CUST101104,Corporate,PROD1011,Desk Lamp,Home,3768.46,9,0.05,0.12,0.0,33916.14,1695.81,3866.44,36086.77,Marketplace,Digital,,UK,Leeds,COD,Success,Shipped,LOYALTY,,LinkedIn,,,0,
TX20250000012,2025-08-25 08:28:00,CUST101134,Corporate,PROD1009,Printer,Office,36890.08,1,0.2,0.05,99.0,36890.08,7378.02,1475.6,31086.66,Online,Ship,UPS,India,Hyderabad,Visa,Success,Shipped,SAVE10,SUMMER_SALE,Instagram,STR003,,0,
TX20250000013,2025-08-24 07:23:00,CUST101104,Corporate,PROD1011,Desk Lamp,Home,676.03,1,0.05,0.18,99.0,676.03,33.8,115.6,856.83,Marketplace,Ship,Delhivery,Germany,Frankfurt,MasterCard,Success,Delivered,,DIWALI2025,Affiliate,,,0,
TX20250000014,2025-05-03 04:41:00,CUST101338,Retail,PROD1000,Laptop,Electronics,75846.57,1,0.1,0.12,79.0,75846.57,7584.66,8191.43,76532.34,Store,Ship,BlueDart,USA,San Francisco,MasterCard,Success,Delivered,LOYALTY,DIWALI2025,Facebook,STR001,SR1003,0,
TX20250000015,2025-06-11 00:47:00,CUST100200,Retail,PROD1010,Office Chair,Furniture,11158.0,3,0.05,0.18,79.0,33474.0,1673.7,5724.05,37603.35,Online,Ship,FedEx,USA,San Francisco,Amex,Success,Returned,SAVE15,DIWALI2025,,STR003,,1,Damaged item
TX20250000016,2025-08-02 02:00:00,CUST100931,SME,PROD1006,Keyboard,Accessories,3371.95,9,0.1,0.18,99.0,30347.55,3034.76,4916.3,32328.09,Marketplace,Ship,DHL,USA,Austin,MasterCard,Success,Delivered,SAVE5,SOCIAL_ADS,LinkedIn,,,0,
TX20250000017,2025-09-04 13:38:00,CUST101196,Enterprise,PROD1008,Monitor,Electronics,9396.42,4,0.0,0.18,49.0,37585.68,0.0,6765.42,44400.1,MobileApp,Ship,FedEx,Canada,Toronto,Cash,Success,Confirmed,,DIWALI2025,Direct,STR004,,0,
TX20250000018,2025-06-28 06:48:00,CUST100504,Retail,PROD1009,Printer,Office,16888.6,2,0.15,0.05,0.0,33777.2,5066.58,1435.53,30146.15,Marketplace,Digital,,Canada,Montreal,,Pending,Cancelled,SAVE10,SUMMER_SALE,Instagram,STR003,,0,
